instance,halo_depth,expansion_ratio_mean,halo_fraction_mean,owned_total
CA-100-0016,0,1.0,0.0,333
CA-100-0016,1,2.873875675675676,1.8738738738738738,333
CA-100-0016,2,5.507526726726726,4.5075075075075075,333
CA-100-0016,4,5.9999630630630625,5.0,333
CA-100-0017,0,1.0,0.0,340
CA-100-0017,1,2.6441199999999996,1.6441176470588235,340
CA-100-0017,2,4.65882,3.6588235294117646,340
CA-100-0017,4,5.0,4.0,340
CA-100-0018,0,1.0,0.0,334
CA-100-0018,1,3.2095682634730545,2.2095808383233533,334
CA-100-0018,2,5.6676616766467065,4.667664670658683,334
CA-100-0018,4,6.000000598802395,5.0,334
CA-100-0019,0,1.0,0.0,336
CA-100-0019,1,2.6874863095238095,1.6875,336
CA-100-0019,2,5.2916598214285715,4.291666666666667,336
CA-100-0019,4,5.999995238095238,5.0,336
CA-100-0020,0,1.0,0.0,339
CA-100-0020,1,2.61652005899705,1.6165191740412979,339
CA-100-0020,2,5.289077286135694,4.289085545722714,339
CA-100-0020,4,6.000030088495575,5.0,339
CA-100-0021,0,1.0,0.0,339
CA-100-0021,1,2.542755162241888,1.5427728613569323,339
CA-100-0021,2,5.15634365781711,4.156342182890856,339
CA-100-0021,4,6.000030088495575,5.0,339
CA-100-0022,0,1.0,0.0,340
CA-100-0022,1,2.5353,1.535294117647059,340
CA-100-0022,2,4.51766,3.5176470588235293,340
CA-100-0022,4,5.0,4.0,340
CA-100-0023,0,1.0,0.0,335
CA-100-0023,1,2.7164200000000003,1.7164179104477613,335
CA-100-0023,2,4.6985,3.698507462686567,335
CA-100-0023,4,5.0,4.0,335
CA-100-0024,0,1.0,0.0,334
CA-100-0024,1,2.730532335329341,1.7305389221556886,334
CA-100-0024,2,5.392249700598803,4.392215568862276,334
CA-100-0024,4,5.999982934131736,5.0,334
CA-100-0025,0,1.0,0.0,337
CA-100-0025,1,2.9347074183976263,1.9347181008902077,337
CA-100-0025,2,5.504445103857567,4.5044510385756675,337
CA-100-0025,4,6.000038872403562,5.0,337
CA-100-0026,0,1.0,0.0,338
CA-100-0026,1,2.8254366863905327,1.8254437869822486,338
CA-100-0026,2,5.414221893491124,4.414201183431953,338
CA-100-0026,4,5.999982248520711,5.0,338
