,name,_runtime,_step,_timestamp,best_epoch,best_val_loss,data/train_size,data/valid_size,dropout,early_stop,early_stop_epoch,early_stop_min_delta,early_stop_patience,epoch,epochs,lejepa_global_mask,lejepa_lambda,lejepa_local_mask,lejepa_n_global_views,lejepa_n_local_views,lr,sigreg_points,sigreg_slices,train/lejepa_loss,train/lejepa_loss_b,train/lejepa_pred_loss,train/lejepa_pred_loss_b,train/lejepa_sigreg_loss,train/lejepa_sigreg_loss_b,training/step,valid/iso/D,valid/iso/N,valid/iso/kappa,valid/iso/mean_abs_corr,valid/iso/radius_mean,valid/iso/radius_mean_ratio,valid/iso/radius_std,valid/iso/radius_std_ratio,valid/iso/sigreg,valid/iso/sphericity,valid/lejepa_loss,valid/lejepa_pred_loss,valid/lejepa_sigreg_loss
14,sunny-sweep-15,1413.6826326,1760,1764137254.6598809,1,3.606093794107437,28000,6000,0.1,True,16.0,0.01,15,16,100,0.95,0.050127014885939625,0.5,2,6,0.001,17,256,0.006996667964117868,1.2708139419555664,0.00358615185533251,0.9555156230926514,0.07162363971982684,7.245505332946777,1760,128,250,1.5833175132671993,0.0027640443780304245,0.0006098911544540897,5.4012660836043145e-05,0.0004566692150547169,0.0006464618717220319,106.81391350428264,0.9406322514017424,4.60387979944547,0.07779909390956163,90.3700450261434
18,usual-sweep-19,1723.381357836,1812,1764156843.0614915,3,4.088264773289363,28000,6000,0.1,,,0.01,15,16,100,0.7,0.10753030591342724,0.3,2,8,0.001,17,256,0.0063872217323098866,1.5627222061157229,0.0038771281114646367,0.9923507571220398,0.02722025582620076,6.29663610458374,1812,128,250,10564800032.666666,0.5013958054284254,5.194095234076182,0.4599950371134354,3.1367591619491577,4.440402663735324,51.38335386912028,0.019509784722079832,4.649815926949183,0.18410095448295272,41.713929176330566
21,dazzling-sweep-22,1551.398424209,1801,1764160862.5730352,14,4.349414428075154,28000,6000,0.1,,,0.01,15,16,100,0.7,0.15701496009704227,0.5,1,8,0.001,17,256,0.009464248938219889,2.2294909954071045,0.004457971215248108,1.2155507802963257,0.03634205111435482,7.673153400421143,1801,128,250,17660728811.166668,0.5036607384681702,6.1943754355112715,0.5485810001439739,2.9441370169321694,4.167726362601527,42.40890900293986,0.022243714968984325,4.679269750912984,0.3153717952469985,28.108250657717388
19,ruby-sweep-20,1313.250708334,1824,1764158163.1606152,7,5.571544686953227,28000,6000,0.3,,,0.01,15,16,100,0.95,0.05636096212170946,0.3,3,4,0.001,9,768,0.005008690220969064,1.2686917781829834,0.003812269396015576,0.9738298654556274,0.02504009680237089,6.205498218536377,1824,128,250,2709916.7395833335,0.8719316323598226,1.2191703766584396,0.10797112824950846,0.9043907647331556,1.2802574100981687,237.30405362447104,0.007959899376146495,9.075094819068909,0.2677786623438199,156.53402169545492
22,summer-sweep-23,1552.298583385,1784,1764162421.5738747,11,6.872901598612468,28000,6000,0.3,,,0.01,15,16,100,0.95,0.0681389185307157,0.5,1,8,0.001,9,512,0.006480017121349062,1.6710751056671145,0.0044130968834672655,1.1175808906555176,0.03474701052904129,9.240606307983398,1784,128,250,1.001116285721461,6.317172468091788e-06,3.3770418516117694e-05,2.9907470345835326e-06,1.8784929352477775e-05,2.65919842832276e-05,100.93626133600873,0.9424771318833032,6.879561801751454,2.4158662199624817e-05,100.96343406041464
23,unique-sweep-24,1713.04081389,1760,1764164141.8931942,1,7.142910500367482,28000,6000,0.2,True,16.0,0.01,15,16,100,0.95,0.08384548515156164,0.4,2,8,0.001,13,256,0.007231186389923096,1.3150286674499512,0.0039587336693491255,1.0195770263671875,0.04298829649175916,4.54334020614624,1760,128,250,24.152052958806355,0.08687528781592846,0.003784057529022296,0.00033512047913221915,0.0029558278911281377,0.004184275987944429,101.21957683563232,0.25001622550189495,7.675420651833217,0.03267515846528113,91.18540779749551
16,eager-sweep-17,1562.089515575,1760,1764140110.7748158,1,9.3971985578537,28000,6000,0.1,True,16.0,0.01,15,16,100,0.8,0.1379873614432555,0.2,3,6,0.001,17,256,0.006985590138605662,1.4501324892044067,0.004683256213154112,1.23916494846344,0.021368364231927055,2.7680559158325195,1760,128,250,394.465576171875,0.4251651292045911,0.017475508774320286,0.0015476511201569013,0.01091601032142838,0.01545272646259302,185.50174268086752,0.015427619063605864,14.782449821631111,0.26601676642894745,105.46719630559284
20,gallant-sweep-21,1134.287256305,1873,1764159304.555791,9,9.5808354417483,28000,6000,0.3,,,0.01,15,17,100,0.8,0.10832247140903167,0.4,2,4,0.001,17,768,0.00644431791135243,1.3929672241210938,0.004788801674331937,1.2655290365219116,0.020072023749351502,2.4420008659362793,1873,128,250,52320.733561197914,0.9233368511001268,0.17913058896859488,0.015864010613470352,0.1410966416200002,0.19973669349362447,188.3559773763021,0.0078757683125635,17.74968014160792,0.015524243004620075,163.73183886210123
1,astral-sweep-2,1240.241506753,1850,1764072904.6820247,6,10.709295054276785,28000,6000,0.2,,,0.01,15,16,100,0.7,0.10587943517795284,0.4,1,6,0.001,17,768,0.007322528949805668,1.876859426498413,0.005252240759985788,1.3559211492538452,0.02480550158023834,6.276028633117676,1850,128,250,1.0027013669411342,1.3679316149743196e-05,4.1478411427912455e-05,3.6733757361656207e-06,3.130469925357223e-05,4.43149960759558e-05,101.14026387532552,0.9424780731399854,10.701982537905376,3.660085561326317e-05,101.076757589976
9,stilted-sweep-10,1255.435667909,1844,1764126004.3584738,4,10.994030396143597,28000,6000,0.1,,,0.01,15,16,100,0.95,0.23978690084127333,0.4,1,6,0.001,21,768,0.00991426710997309,2.4345579147338867,0.006816548615694046,1.7116369009017944,0.019735179356166296,4.726485252380371,1844,128,250,1142868637.3333333,0.551145094136397,3.4838623106479645,0.3085348459479372,1.2748834490776062,1.804727609281479,71.42856725056966,0.015561045923580728,14.665595849355062,0.22300052580734095,60.45395922660827
6,rare-sweep-7,1612.598045022,1797,1764109084.584473,2,13.143638809521994,28000,6000,0.2,,,0.01,15,16,100,0.8,0.2271339093369164,0.5,3,6,0.001,17,512,0.00724343455689294,1.7756099700927734,0.00484847069638116,1.248407006263733,0.015392752247197288,3.5695173740386963,1797,128,250,248777445.72916663,0.6623541638255119,2.2950355410575867,0.2032509823769538,1.32548784216245,1.8763632912861572,86.56871191660564,0.011607390673210224,16.405554513136547,0.07816148983935516,71.96259570121765
11,generous-sweep-12,893.861953589,1795,1764128825.3825295,12,13.271040459473928,28000,6000,0.3,,,0.01,15,16,100,0.8,0.13177550706677374,0.3,1,4,0.001,21,768,0.00790473149078233,2.019421100616455,0.005691874282700675,1.4910038709640503,0.02248450194086347,5.500984191894531,1795,128,250,285.2288074493408,0.39393894622723263,0.013695004939412078,0.0012128453602553149,0.010009495580258468,0.0141694623471214,101.58638779322308,0.01676356284103046,13.353048781553904,0.0002419084703433327,101.33019765218098
15,fresh-sweep-16,1283.289008548,1848,1764138541.610205,4,14.156353056430817,28000,6000,0.3,,,0.01,15,16,100,0.7,0.1403618661820525,0.3,3,4,0.001,21,512,0.006591033854654857,1.6628994941711426,0.004726356382880892,1.2153233289718628,0.018011143275669644,4.404053688049316,1848,128,250,7776.345723470052,0.5847838719685873,0.0953868090485533,0.008447565320050487,0.05041513126343489,0.0713677625844935,158.70894368489584,0.01479473834236463,18.96162545681,0.018976883109038074,134.9747870763143
12,winter-sweep-13,1431.291888621,1856,1764130263.190662,12,20.1826411485672,28000,6000,0.2,,,0.01,15,16,100,0.7,0.22858638245122115,0.3,2,6,0.001,21,768,0.008032826530081884,2.0155189037323,0.0054905233000006,1.4258694648742676,0.01661237267085484,4.0054168701171875,1856,128,250,176605.34049479166,0.7643197427193323,0.29123676878710586,0.025792262603912226,0.30846021324396133,0.43665690664428913,114.44800059000652,0.008513171381006638,22.923121571540833,0.022285579548527796,100.2068920135498
