,name,_runtime,_step,_timestamp,best_epoch,best_val_loss,data/train_size,data/valid_size,early_stop,early_stop_epoch,epoch,lr,train/lejepa_loss,train/lejepa_loss_b,train/lejepa_pred_loss,train/lejepa_pred_loss_b,train/lejepa_sigreg_loss,train/lejepa_sigreg_loss_b,training/step,valid/iso/D,valid/iso/N,valid/iso/kappa,valid/iso/mean_abs_corr,valid/iso/radius_mean,valid/iso/radius_mean_ratio,valid/iso/radius_std,valid/iso/radius_std_ratio,valid/iso/sigreg,valid/iso/sphericity,valid/lejepa_loss,valid/lejepa_pred_loss,valid/lejepa_sigreg_loss,epochs,dropout,lejepa_lambda,sigreg_points,sigreg_slices,lejepa_local_mask,lejepa_global_mask,early_stop_patience,early_stop_min_delta,lejepa_n_local_views,lejepa_n_global_views
18,faithful-sweep-19,4155.431276388,3850,1764312882.77714,15,0.587452590465546,28000,6000,True,35,35,0.001,0.0015276960006782,0.276277750730515,0.00064493584686092,0.171284273266792,0.0386088587215969,4.68662643432617,3850,128,250,11823150084.3333,0.274378528197606,9.83789034684499,0.871254863700964,3.09877065817515,4.38662606035574,10.9369012117386,0.0630254875868559,0.393709823489189,0.159726331631343,10.2224044799805,100,0,0.0232526059672103,13,512,0.308272839875656,0.830056759146284,20,0.5,8,3
22,robust-sweep-23,4867.244860208,4510,1764330260.42401,21,0.619429133832455,28000,6000,True,41,41,0.001,0.00183115113313709,0.411661326885223,0.000760745712156807,0.237313270568848,0.0324105881963457,5.39245223999023,4510,128,250,5959912641.75,0.268893446773291,9.64520037174225,0.854190018284333,2.64696952700615,3.7470554581056,15.7754624684652,0.0607623788528144,0.682594146579504,0.249705389762918,13.0493988394737,100,0,0.0338202472226947,13,512,0.36496065540892,0.805796088034564,20,0.5,8,3
20,neat-sweep-21,5452.687133907,5060,1764322699.95946,26,0.622628731032213,28000,6000,True,46,46,0.001,0.00188678155094385,0.322194576263428,0.000817539190075227,0.215278178453445,0.0352344909054892,3.6567211151123,5060,128,250,10100231201.1667,0.26268586392204,10.0633562803268,0.891222385620736,2.38359876473745,3.37422727017381,10.8594640890757,0.0670775494848688,0.485505177328984,0.203729907671611,9.27355937163035,100,0,0.0310673172827177,13,512,0.316759752950652,0.828550519128107,20,0.5,8,3
14,vital-sweep-15,3869.378109311,3960,1764298112.43764,16,0.78899542738994,28000,6000,True,36,36,0.001,0.00231278665789536,0.313349545001984,0.000695014666765928,0.172006174921989,0.0610102238825389,5.44169569015503,3960,128,250,27988263216,0.342146468659242,9.73676896095276,0.862299437671943,3.25159761309624,4.60296820926986,16.0407918691635,0.0418669174735745,0.543466271211704,0.172775552297632,13.9931951562564,100,0,0.0268219571991589,13,512,0.346656726110903,0.847438418766268,20,0.5,8,2
19,visionary-sweep-20,4354.752742947,4070,1764317243.406,17,0.829879721005758,28000,6000,True,37,37,0.001,0.00206086156304394,0.342756628990173,0.000818699872387307,0.225082367658615,0.0351706479702677,3.47936129570007,4070,128,250,8853106965.66667,0.265728008002043,10.4133381446203,0.922217181326155,2.6815092364947,3.79594994126455,9.60176819562912,0.0668258623530467,0.52244524906079,0.216637754191955,8.67373593648275,100,0,0.0361598611496055,13,512,0.335959376697665,0.721342649733397,20,0.5,8,3
8,curious-sweep-9,5341.292824148,5500,1764276253.2597,30,0.836135725180308,28000,6000,True,50,50,0.001,0.00257032531180552,0.415187448263168,0.00102469920473439,0.262906461954117,0.0283919375794275,2.95923137664795,5500,128,250,5416685382.91667,0.236427017798026,10.1810268163681,0.901643423386534,2.54685261845589,3.60532975828002,8.37941674391429,0.082698673941195,0.647130817174912,0.24983151567479,7.28451139728228,100,0,0.0564772417032046,13,256,0.360100604814164,0.764490317584942,20,0.5,8,2
23,serene-sweep-24,4017.202800832,3740,1764334289.9993,14,0.848478503525257,28000,6000,True,34,34,0.001,0.00217202376893589,0.362771153450012,0.00090809947678021,0.216095492243767,0.0437642007725579,5.18945169448853,3740,128,250,18077456250.6667,0.299479513118664,10.0197494824727,0.887360517539131,2.78721654415131,3.94558942146073,12.4708642363548,0.0534579472926756,0.553098484873772,0.23530949652195,11.0106361508369,100,0,0.0294922840040733,13,512,0.307174219621838,0.781085845535002,20,0.5,8,3
1,earthy-sweep-2,4608.254211875,4730,1764256425.35103,23,0.849196781714757,28000,6000,True,43,43,0.001,0.00290580614975521,0.465168654918671,0.0011458731134023,0.289954483509064,0.051373038649559,5.29043531417847,4730,128,250,31332306261.3333,0.364622029165427,9.27998805046082,0.821846395822428,3.75745040178299,5.31905444808293,16.4866081674894,0.0365785687851409,0.71907476708293,0.269025431325038,13.1130950450897,100,0,0.0350394670725365,13,256,0.338480150412682,0.897669149988244,20,0.5,8,2
15,peachy-sweep-16,4161.237655166,4290,1764302286.54588,19,0.862807782987754,28000,6000,True,39,39,0.001,0.00231931080243417,0.369294673204422,0.000801177691668272,0.221342325210571,0.03783655665602,3.83069086074829,4290,128,250,13239907877.5,0.271730837722619,9.96035742759705,0.882100688973117,2.58422663807869,3.65823649664258,10.7893397808075,0.0658830540875594,0.592877053966125,0.201569097737471,9.74766101439794,100,0,0.0409914292451592,13,512,0.331825619242428,0.837508041881871,20,0.5,8,2
16,noble-sweep-17,2770.429428885,2860,1764305061.32296,6,0.871126050750415,28000,6000,True,26,26,0.001,0.00155176079805408,0.259129881858826,0.000623653385256018,0.163919731974602,0.0460893815415246,4.82803297042847,2860,128,250,18901397546.6667,0.299341175705195,10.2983727852503,0.912035717112103,3.11425404747327,4.40854437780804,12.2732586065928,0.0543351682523886,0.412247770776351,0.16554206609726,12.2510550618172,100,0,0.0204133415631253,13,512,0.304068260059577,0.784944287078779,20,0.5,8,2
